"","site_name","New_taxon","taxon_site","year_trt","trt","max_cover","block","new_max_cover"
"56","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","0","Disturbance",23,2,0.23
"57","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","0","Disturbance",25,3,0.25
"58","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","0","Disturbance",0.1,4,0.001
"59","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","0","NPK",2,1,0.02
"60","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","0","NPK",11,3,0.11
"61","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","0","NPK",1,4,0.01
"62","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","0","NPK+Disturbance",0,1,0
"63","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","0","NPK+Disturbance",15,2,0.15
"64","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","0","NPK+Disturbance",0,3,0
"65","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","Control",3,2,0.03
"66","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","Control",0,3,0
"67","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","Control",1,4,0.01
"68","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","Disturbance",30,2,0.3
"69","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","Disturbance",8,3,0.08
"70","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","Disturbance",0.5,4,0.005
"71","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","NPK",2,1,0.02
"72","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","NPK",9,3,0.09
"73","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","NPK",0,4,0
"74","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","NPK+Disturbance",1,1,0.01
"75","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","NPK+Disturbance",12,2,0.12
"76","Agroscope Changins","Alopecurus_pratensis","Alopecurus_pratensis_Agroscope Changins","1","NPK+Disturbance",1,3,0.01
"77","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","0","Control",0.5,3,0.005
"78","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","0","Disturbance",1,1,0.01
"79","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","0","Disturbance",1,2,0.01
"80","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","0","Disturbance",0.1,3,0.001
"81","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","0","Disturbance",0.5,4,0.005
